nome_appartamento,codice_interno,struttura_nome,public_checkin_key,note_revisione
Montefeltro 01,MON-01,Montefeltro,montefeltro-01,
Montefeltro 02,MON-02,Montefeltro,montefeltro-02,
Via Amalfi 5 sotto · bilo,AMA5-SOTTO-BILO,,via-amalfi-5-sotto-bilo,
