struttura_nome,nome_appartamento,unit_label,tipologia,month,avg_price,min_price,max_price,weekend_avg,weekday_avg,min_stay_values,closed_days,priced_days,rack_rate,room_min_stay,source_updated_at
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,4 · Monolocale,Monolocale,giugno,,,,,,,0,0,,,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,4 · Monolocale,Monolocale,luglio,,,,,,,0,0,,,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,5 · Stanza,Stanza,giugno,,,,,,,0,0,,,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,5 · Stanza,Stanza,luglio,,,,,,,0,0,,,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,6 · Monolocale,Monolocale,giugno,,,,,,,0,0,,,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,6 · Monolocale,Monolocale,luglio,,,,,,,0,0,,,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,7 · Monolocale,Monolocale,giugno,,,,,,,0,0,0,1,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,7 · Monolocale,Monolocale,luglio,,,,,,,0,0,0,1,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,8 · Monolocale,Monolocale,giugno,,,,,,,0,0,0,1,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,8 · Monolocale,Monolocale,luglio,,,,,,,0,0,0,1,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,9 · Monolocale,Monolocale,giugno,,,,,,,0,0,,,
Montefeltro,RESIDENCE MONTEFELTRO - Strada del Montefeltro 74 Pesaro,9 · Monolocale,Monolocale,luglio,,,,,,,0,0,,,
Riccione,Riccione - Via Catullo 22,Default,Appartamento,giugno,353.57,212.58,500,365.1,349.37,3,30,30,500,1,2026-06-18T13:34:34.221+00:00
Riccione,Riccione - Via Catullo 22,Default,Appartamento,luglio,500,500,500,500,500,3,31,31,500,1,2026-06-18T13:34:34.221+00:00
Riccione,Riccione - Via Panzini 12/b,Default,Appartamento,giugno,129.36,9,267,186.63,108.54,1/2/3,28,30,400,1,2026-06-19T02:00:14.224+00:00
Riccione,Riccione - Via Panzini 12/b,Default,Appartamento,luglio,425.58,276,628,523.17,385.66,1/2/3,21,31,400,1,2026-06-19T02:00:14.224+00:00
Rimini,Miramare - Via Lugano 41,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Rimini,Miramare - Via Lugano 41,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Rimini,Rimini - Via Lagomaggio Monolocale,Default,Monolocale,giugno,,,,,,,0,0,250,3,
Rimini,Rimini - Via Lagomaggio Monolocale,Default,Monolocale,luglio,,,,,,,0,0,250,3,
Rimini,Rimini - Via Lagomaggio Trilocale,Default,Trilocale,giugno,,,,,,,0,0,150,0,
Rimini,Rimini - Via Lagomaggio Trilocale,Default,Trilocale,luglio,,,,,,,0,0,150,0,
Rimini,Rimini - Viale Zuara,Default,Appartamento,giugno,,,,,,,0,0,300,1,
Rimini,Rimini - Viale Zuara,Default,Appartamento,luglio,,,,,,,0,0,300,1,
Rimini,Viale Ramusio 2 Rimini,Default,Appartamento,giugno,,,,,,,0,0,500,3,
Rimini,Viale Ramusio 2 Rimini,Default,Appartamento,luglio,,,,,,,0,0,500,3,
Rivazzurra,Rivazzurra - Viale Bergamo 23,Default,Appartamento,giugno,61.61,9,400,45.81,67.35,1/2/3,14,30,500,1,2026-06-19T11:54:21.484+00:00
Rivazzurra,Rivazzurra - Viale Bergamo 23,Default,Appartamento,luglio,160.32,150,170,160,160.45,3,0,31,500,1,2026-06-19T11:54:21.484+00:00
San Giovanni In Marignano,San Giovanni In Marignano - Via Enrico Fermi 8,Default,Appartamento,giugno,,,,,,,0,0,400,1,
San Giovanni In Marignano,San Giovanni In Marignano - Via Enrico Fermi 8,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Valtournenche,Valtournenche - Frazione Chaloz di Sotto SNC - Condominio Grolla A,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Valtournenche,Valtournenche - Frazione Chaloz di Sotto SNC - Condominio Grolla A,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Valtournenche,Valtournenche - Frazione Evette snc - Condominio Lisa,Default,Appartamento,giugno,56.75,22.5,156,62.68,54.59,1/2/3,14,30,400,1,2026-06-18T16:28:29.957+00:00
Valtournenche,Valtournenche - Frazione Evette snc - Condominio Lisa,Default,Appartamento,luglio,283.39,260.4,339.6,339.6,260.4,2/3,0,31,400,1,2026-06-18T16:28:29.957+00:00
Verona,Verona - Vicolo Pozzo 2,Default,Appartamento,giugno,,,,,,,0,0,75,1,
Verona,Verona - Vicolo Pozzo 2,Default,Appartamento,luglio,,,,,,,0,0,75,1,
Viserba,Viserba - Via Giuliano Dati 33 con Giardino,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Viserba,Viserba - Via Giuliano Dati 33 con Giardino,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Viserba,Viserba - Via Giuliano Dati 35 con Balcone,Default,Appartamento,giugno,170.72,27,385,169.63,171.12,1/2/3,17,30,400,1,2026-06-18T13:34:34.223+00:00
Viserba,Viserba - Via Giuliano Dati 35 con Balcone,Default,Appartamento,luglio,511.94,385,668.25,626.69,465,3,8,31,400,1,2026-06-18T13:34:34.223+00:00
Viserbella,Viserbella - Via Massimiliano Grazia 15,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Viserbella,Viserbella - Via Massimiliano Grazia 15,Default,Appartamento,luglio,,,,,,,0,0,400,1,
