struttura_nome,nome_appartamento,unit_label,tipologia,month,avg_price,min_price,max_price,weekend_avg,weekday_avg,min_stay_values,closed_days,priced_days,rack_rate,room_min_stay,source_updated_at
Antey Saint Andre,Valle d'Aosta - Grande Cervino Frazione Colavou 8 Antey-Saint-Andre,Default,Appartamento,luglio,299,299,299,299,299,3,0,31,500,3,2026-06-24T18:16:05.127+00:00
Antey Saint Andre,Valle d'Aosta - Grande Cervino Frazione Colavou 8 Antey-Saint-Andre,Default,Appartamento,agosto,349,349,349,349,349,3,0,31,500,3,2026-06-24T18:16:05.127+00:00
Cattolica,Cattolica - Via Amalfi 5 con Balcone,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Amalfi 5 con Balcone,Default,Appartamento,agosto,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Amalfi 5 con Cortile,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Amalfi 5 con Cortile,Default,Appartamento,agosto,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Bovio 25,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Bovio 25,Default,Appartamento,agosto,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Bovio 3,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Bovio 3,Default,Appartamento,agosto,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Carducci 19,Default,Bilocale,luglio,327.29,151,450,357.44,314.95,2/3,0,31,400,1,2026-06-21T22:06:06.543+00:00
Cattolica,Cattolica - Via Carducci 19,Default,Bilocale,agosto,414.52,400,450,450,400,3,0,31,400,1,2026-06-21T22:06:06.543+00:00
Cattolica,Cattolica - Via Cesare Battisti 51,Default,Appartamento,luglio,,,,,,,0,0,0,1,
Cattolica,Cattolica - Via Cesare Battisti 51,Default,Appartamento,agosto,,,,,,,0,0,0,1,
Cattolica,Cattolica - Via Cremona 2/c interno 1 con Balcone Davanti,Default,Appartamento,luglio,243.39,102,320,263.89,235,3,0,31,250,3,2026-06-21T22:06:06.543+00:00
Cattolica,Cattolica - Via Cremona 2/c interno 1 con Balcone Davanti,Default,Appartamento,agosto,297.82,250,400,340.56,280.34,3,0,31,250,3,2026-06-21T22:06:06.543+00:00
Cattolica,Cattolica - Via Cremona 2/c interno 2 con Balcone Interno,Default,Appartamento,luglio,168.88,150,216,207.5,156,3,5,8,250,3,2026-06-24T02:00:07.777+00:00
Cattolica,Cattolica - Via Cremona 2/c interno 2 con Balcone Interno,Default,Appartamento,agosto,,,,,,,0,0,250,3,2026-06-24T02:00:07.777+00:00
Cattolica,Cattolica - Via Donizetti 13/a,Default,Appartamento,luglio,210.55,92,346.32,271.34,185.69,3,0,31,400,3,2026-06-21T22:06:06.543+00:00
Cattolica,Cattolica - Via Donizetti 13/a,Default,Appartamento,agosto,256.14,138,401.54,301.24,237.7,2/3,0,31,400,3,2026-06-21T22:06:06.543+00:00
Cattolica,Cattolica - Via Fiume 37,Default,Appartamento,luglio,368.39,194,608,482.11,321.86,3,21,31,400,1,2026-06-21T22:06:06.543+00:00
Cattolica,Cattolica - Via Fiume 37,Default,Appartamento,agosto,565.94,407,738,652.78,530.41,3,7,31,400,1,2026-06-21T22:06:06.543+00:00
Cattolica,Cattolica - Via Giuseppe Mazzini 169,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Giuseppe Mazzini 169,Default,Appartamento,agosto,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Rasi Spinelli 2,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Rasi Spinelli 2,Default,Appartamento,agosto,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Cortile Interno,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Cortile Interno,Default,Appartamento,agosto,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Fronte Strada,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Fronte Strada,Default,Appartamento,agosto,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 9 con cucina,Default,Appartamento,luglio,,,,,,,0,0,500,1,
Cattolica,Cattolica - Via Venezia 9 con cucina,Default,Appartamento,agosto,,,,,,,0,0,500,1,
Cattolica,Cattolica - Via Verdi 29,Default,Appartamento,luglio,297.55,196,467,386.44,261.18,1/3,17,31,400,1,2026-06-21T22:06:06.543+00:00
Cattolica,Cattolica - Via Verdi 29,Default,Appartamento,agosto,444.78,330,594,527.71,408.5,1/3,5,23,400,1,2026-06-21T22:06:06.543+00:00
Cattolica,Cattolica - Via Zara 24,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Zara 24,Default,Appartamento,agosto,,,,,,,0,0,400,1,
Gabicce Mare,Gabicce Mare - Via Macchiavelli snc,Default,Trilocale,luglio,,,,,,,0,0,400,3,
Gabicce Mare,Gabicce Mare - Via Macchiavelli snc,Default,Trilocale,agosto,,,,,,,0,0,400,3,
Gabicce Mare,Gabicce Monte - Via Emanuele Filiberto 9,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Gabicce Mare,Gabicce Monte - Via Emanuele Filiberto 9,Default,Appartamento,agosto,,,,,,,0,0,400,1,
Gradara,Fanano - Via Sotto Farneto snc,Default,Appartamento,luglio,,,,,,,0,0,400,1,
