struttura_nome,nome_appartamento,unit_label,tipologia,month,avg_price,min_price,max_price,weekend_avg,weekday_avg,min_stay_values,closed_days,priced_days,rack_rate,room_min_stay,source_updated_at
Cattolica,Cattolica - Via Amalfi 5 con Balcone,Default,Appartamento,maggio,56.01,23,106,76.87,47.07,1/3,0,20,400,1,2026-05-14T16:03:26.557+00:00
Cattolica,Cattolica - Via Amalfi 5 con Balcone,Default,Appartamento,giugno,113.12,86,185.9,141.9,102.65,,0,30,400,1,2026-05-14T16:03:26.557+00:00
Cattolica,Cattolica - Via Amalfi 5 con Cortile,Default,Appartamento,maggio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Amalfi 5 con Cortile,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Bovio 25,Default,Appartamento,maggio,,,,,,,0,0,400,3,
Cattolica,Cattolica - Via Bovio 25,Default,Appartamento,giugno,,,,,,,0,0,400,3,
Cattolica,Cattolica - Via Bovio 3,Default,Appartamento,maggio,,,,,,,0,0,400,3,
Cattolica,Cattolica - Via Bovio 3,Default,Appartamento,giugno,,,,,,,0,0,400,3,
Cattolica,Cattolica - Via Cesare Battisti 51,Default,Appartamento,maggio,,,,,,,0,0,0,1,
Cattolica,Cattolica - Via Cesare Battisti 51,Default,Appartamento,giugno,,,,,,,0,0,0,1,
Cattolica,Cattolica - Via Cremona 2/c con Balcone Davanti,Default,Appartamento,maggio,64.43,47,91,79.92,57.79,1/3,0,20,400,1,2026-05-14T16:03:28.421+00:00
Cattolica,Cattolica - Via Cremona 2/c con Balcone Davanti,Default,Appartamento,giugno,138.72,100,219.7,188.54,120.6,,0,30,400,1,2026-05-14T16:03:28.421+00:00
Cattolica,Cattolica - Via Cremona 2/c con Balcone Interno,Default,Appartamento,maggio,77.61,34.2,149,92.7,71.14,1/3,0,20,400,1,2026-05-14T16:03:28.42+00:00
Cattolica,Cattolica - Via Cremona 2/c con Balcone Interno,Default,Appartamento,giugno,132.2,95,208.72,179.12,115.14,,0,30,400,1,2026-05-14T16:03:28.42+00:00
Cattolica,Cattolica - Via Donizetti 13/a,Default,Appartamento,maggio,48.85,35,69,61.67,43.36,1/3,0,20,400,1,2026-05-14T16:03:28.774+00:00
Cattolica,Cattolica - Via Donizetti 13/a,Default,Appartamento,giugno,126.48,84,212.94,175.78,108.55,,0,30,400,1,2026-05-14T16:03:28.774+00:00
Cattolica,Cattolica - Via Fiume 37,Default,Appartamento,maggio,98.25,59,204,133.33,83.21,1/3,0,20,400,1,2026-05-14T16:03:28.785+00:00
Cattolica,Cattolica - Via Fiume 37,Default,Appartamento,giugno,183.31,115,290.56,250.4,158.92,,0,30,400,1,2026-05-14T16:03:28.785+00:00
Cattolica,Cattolica - Via Giuseppe Mazzini 169,Default,Appartamento,maggio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Giuseppe Mazzini 169,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Rasi Spinelli 2,Default,Appartamento,maggio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Rasi Spinelli 2,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Cortile Interno,Default,Appartamento,maggio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Cortile Interno,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Fronte Strada,Default,Appartamento,maggio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Fronte Strada,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 9 con cucina,Default,Appartamento,maggio,123.06,59,315,167.53,104,1/3,0,20,500,1,2026-05-14T16:03:27.31+00:00
Cattolica,Cattolica - Via Venezia 9 con cucina,Default,Appartamento,giugno,225.71,149.5,315,277.35,206.94,,0,30,500,1,2026-05-14T16:03:27.31+00:00
Cattolica,Cattolica - Via Verdi 29,Default,Appartamento,maggio,96.33,58,212,131.23,81.37,1/3,0,20,400,1,2026-05-14T16:03:27.304+00:00
Cattolica,Cattolica - Via Verdi 29,Default,Appartamento,giugno,170.97,115,252,216.13,154.55,,0,30,400,1,2026-05-14T16:03:27.304+00:00
Cattolica,Cattolica - Via Zara 24,Default,Appartamento,maggio,84.06,66,140,97.33,78.37,1/3,0,20,400,3,2026-05-14T16:03:27.303+00:00
Cattolica,Cattolica - Via Zara 24,Default,Appartamento,giugno,198.83,143,315,270.25,172.86,,0,30,400,3,2026-05-14T16:03:27.303+00:00
Gradara,Fanano - Via Sotto Farneto snc,Default,Appartamento,maggio,61.1,45,87,76.05,54.69,1/3,0,20,400,1,2026-05-14T16:03:28.786+00:00
Gradara,Fanano - Via Sotto Farneto snc,Default,Appartamento,giugno,114.27,82,181,155.38,99.32,,0,30,400,1,2026-05-14T16:03:28.786+00:00
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piano Terra con Cortile #1,Bilocale,maggio,,,,,,1/3,0,0,0,1,2026-05-14T16:03:25.586+00:00
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piano Terra con Cortile #1,Bilocale,giugno,,,,,,,0,0,0,1,2026-05-14T16:03:25.586+00:00
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piano Terra con Cortile #2,Bilocale,maggio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piano Terra con Cortile #2,Bilocale,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piano Terra con Cortile #3,Bilocale,maggio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piano Terra con Cortile #3,Bilocale,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piano Terra con Cortile #4,Bilocale,maggio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piano Terra con Cortile #4,Bilocale,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piccolo #1,Bilocale,maggio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piccolo #1,Bilocale,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piccolo #2,Bilocale,maggio,,,,,,1/3,0,0,0,1,2026-05-14T16:03:28.038+00:00
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Piccolo #2,Bilocale,giugno,,,,,,,0,0,0,1,2026-05-14T16:03:28.038+00:00
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Primo Piano #1,Bilocale,maggio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Primo Piano #1,Bilocale,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Primo Piano #2,Bilocale,maggio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Primo Piano #2,Bilocale,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Primo Piano #3,Bilocale,maggio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Villa Margherita Bilocale Primo Piano #3,Bilocale,giugno,,,,,,,0,0,0,1,
